"Temperature (C)","Humidity (H)","Time"
"22","17","23:3:4"
"22","17","23:3:4"
"22","17","23:3:6"
"22","17","23:3:6"
"22","17","23:3:7"
"22","17","23:3:7"
"22","17","23:3:8"
"22","17","23:3:8"
"22","17","23:3:9"
"22","17","23:3:9"
"22","17","23:3:11"
"22","17","23:3:11"
"22","17","23:3:12"
"22","17","23:3:12"
"22","17","23:3:13"
"22","17","23:3:13"
"22","17","23:3:14"
"22","17","23:3:14"
"22","17","23:3:16"
"22","17","23:3:16"
"22","17","23:3:17"
"22","17","23:3:17"
"22","17","23:3:18"
"22","17","23:3:18"
"22","17","23:3:20"
"22","17","23:3:20"
"22","17","23:3:21"
"22","17","23:3:21"
"23","41","23:3:22"
"23","41","23:3:22"
"23","43","23:3:23"
"23","43","23:3:23"
"23","42","23:3:24"
"23","42","23:3:24"
"23","42","23:3:25"
"23","42","23:3:25"
"23","42","23:3:27"
"23","42","23:3:27"
"23","41","23:3:28"
"23","41","23:3:28"
"23","40","23:3:29"
"23","40","23:3:29"
